1, 196858, Chikkodi, 95906, BELGAUM, 5, 1-Nippani, 100947, 1
1, 191413, Chikkodi, 92835, BELGAUM, 10, 2-Chikkodi-Sadalga, 98568, 1
1, 196062, Chikkodi, 94088, BELGAUM, 7, 3-Athani, 101967, 1
1, 170972, Chikkodi, 82040, BELGAUM, 13, 4-Kagwad, 88919, 1
1, 157946, Chikkodi, 75034, BELGAUM, 9, 5-Kudachi, 82903, 1
1, 171589, Chikkodi, 81120, BELGAUM, 5, 6-Raybag, 90464, 1
1, 180518, Chikkodi, 88803, BELGAUM, 5, 7-Hukkeri, 91710, 1
1, 170152, Chikkodi, 84614, BELGAUM, 9, 10-Yemkanamardi, 85529, 1
1, 202254, Belgaum, 99061, BELGAUM, 8, 8-Arabhavi, 103185, 2
1, 208882, Belgaum, 103511, BELGAUM, 9, 9-Gokak, 105362, 2
1, 38, Belgaum, 106486, BELGAUM, 104661, 11-Belgaum, Uttar, 2
1, 64, Belgaum, 109891, BELGAUM, 104603, 12-Belgaum, Dakshin, 2
1, 18, Belgaum, 109439, BELGAUM, 104324, 13-Belgaum, Rural, 2
1, 169577, Belgaum, 83113, BELGAUM, 6, 16-Bailahongal, 86458, 2
1, 0, Belgaum, 88650, BELGAUM, 85595, 17-Saundatti, Yellamma, 2
1, 180643, Belgaum, 86923, BELGAUM, 8, 18-Ramdurg, 93712, 2
2, 176543, Bagalkot, 87588, BAGALKOT, 10, 19-Mudhol, 88945, 3
2, 205273, Bagalkot, 101009, BAGALKOT, 17, 20-Terdal, 104247, 3
2, 185328, Bagalkot, 91322, BAGALKOT, 12, 21-Jamkhandi, 93994, 3
2, 201487, Bagalkot, 100027, BAGALKOT, 27, 22-Bilgi, 101433, 3
2, 203125, Bagalkot, 100379, BAGALKOT, 12, 23-Badami, 102734, 3
2, 214678, Bagalkot, 106239, BAGALKOT, 17, 24-Bagalkot, 108422, 3
2, 201960, Bagalkot, 100907, BAGALKOT, 8, 25-Hungund, 101045, 3
8, 177383, Bagalkot, 87081, GADAG, 4, 68-Nargund, 90298, 3
3, 183715, Bijapur, 87674, BIJAPUR, 33, 26-Muddebihal, 96008, 4
3, 13, Bijapur, 98568, BIJAPUR, 87993, 27-Devara, Hippargi, 4
3, 13, Bijapur, 95310, BIJAPUR, 87778, 28-Basavana, Bagevadi, 4
3, 193941, Bijapur, 94315, BIJAPUR, 11, 29-Babaleshwar, 99615, 4
3, 45, Bijapur, 120304, BIJAPUR, 114320, 30-Bijapur, City, 4
3, 236474, Bijapur, 112768, BIJAPUR, 26, 31-Nagthan, 123680, 4
3, 208092, Bijapur, 98129, BIJAPUR, 19, 32-Indi, 109944, 4
3, 195004, Bijapur, 91463, BIJAPUR, 17, 33-Sindgi, 103524, 4
4, 200577, Gulbarga, 96253, GULBARGA, 9, 34-Afzalpur, 104315, 5
4, 207952, Gulbarga, 102434, GULBARGA, 16, 35-Jevargi, 105502, 5
4, 205038, Gulbarga, 100987, GULBARGA, 23, 40-Chittapur, 104028, 5
4, 196097, Gulbarga, 97919, GULBARGA, 18, 41-Sedam, 98160, 5
4, 14, Gulbarga, 116516, GULBARGA, 107675, 43-Gulbarga, Rural, 5
4, 64, Gulbarga, 119183, GULBARGA, 116208, 44-Gulbarga, Dakshin, 5
4, 69, Gulbarga, 123500, GULBARGA, 115480, 45-Gulbarga, Uttar, 5
35, 213293, Gulbarga, 106402, YADGIR, 12, 39-Gurmitkal, 106879, 5
6, 66, Raichur, 103006, RAICHUR, 104922, 53-Raichur, Rural, 6
6, 204762, Raichur, 100751, RAICHUR, 81, 54-Raichur, 103930, 6
6, 214538, Raichur, 107692, RAICHUR, 78, 55-Manvi, 106768, 6
6, 196274, Raichur, 97934, RAICHUR, 22, 56-Devadurga, 98318, 6
6, 206910, Raichur, 101755, RAICHUR, 7, 57-Lingsugur, 105148, 6
35, 231862, Raichur, 113870, YADGIR, 30, 36-Shorapur, 117962, 6
35, 197291, Raichur, 97617, YADGIR, 16, 37-Shahapur, 99658, 6
35, 201731, Raichur, 100720, YADGIR, 10, 38-Yadgir, 101001, 6
4, 180336, Bidar, 87207, GULBARGA, 7, 42-Chincholi, 93122, 7
4, 204423, Bidar, 96518, GULBARGA, 10, 46-Aland, 107895, 7
5, 208615, Bidar, 98292, BIDAR, 8, 47-Basavakalyan, 110315, 7
5, 218725, Bidar, 103630, BIDAR, 7, 48-Humnabad, 115088, 7
5, 7, Bidar, 97108, BIDAR, 89060, 49-Bidar, South, 7
5, 196711, Bidar, 94261, BIDAR, 15, 50-Bidar, 102435, 7
5, 209204, Bidar, 98858, BIDAR, 3, 51-Bhalki, 110343, 7
5, 195689, Bidar, 93599, BIDAR, 13, 52-Aurad, 102077, 7
6, 206867, Koppal, 103498, RAICHUR, 20, 58-Sindhanur, 103349, 8
6, 172789, Koppal, 86273, RAICHUR, 15, 59-Maski, 86501, 8
7, 201904, Koppal, 99580, KOPPAL, 7, 60-Kushtagi, 102317, 8
7, 191145, Koppal, 96103, KOPPAL, 11, 61-Kanakagiri, 95031, 8
7, 179703, Koppal, 89832, KOPPAL, 7, 62-Gangavathi, 89864, 8
7, 187223, Koppal, 91796, KOPPAL, 6, 63-Yelburga, 95421, 8
7, 216212, Koppal, 107109, KOPPAL, 14, 64-Koppal, 109089, 8
12, 178983, Koppal, 90441, BELLARY, 15, 92-Siraguppa, 88527, 8
12, 168140, Bellary, 82147, BELLARY, 9, 88-Hadagali, 85984, 9
12, 194893, Bellary, 95874, BELLARY, 18, 89-Hagaribommanahalli, 99001, 9
12, 182299, Bellary, 90474, BELLARY, 36, 90-Vijayanagara, 91789, 9
12, 188884, Bellary, 94306, BELLARY, 16, 91-Kampli, 94562, 9
12, 187940, Bellary, 94501, BELLARY, 23, 93-Bellary, 93416, 9
12, 10, Bellary, 102585, BELLARY, 103731, 94-Bellary, City, 9
12, 181615, Bellary, 89032, BELLARY, 32, 95-Sandur, 92551, 9
12, 177564, Bellary, 86856, BELLARY, 9, 96-Kudligi, 90699, 9
8, 193682, Haveri, 94074, GADAG, 5, 65-Shirahatti, 99603, 10
8, 201020, Haveri, 99407, GADAG, 18, 66-Gadag, 101595, 10
8, 209577, Haveri, 103463, GADAG, 13, 67-Ron, 106101, 10
11, 181442, Haveri, 85361, HAVERI, 5, 82-Hangal, 96076, 10
11, 206740, Haveri, 98354, HAVERI, 10, 84-Haveri, 108376, 10
11, 188259, Haveri, 90081, HAVERI, 7, 85-Byadgi, 98171, 10
11, 167836, Haveri, 79693, HAVERI, 6, 86-Hirekerur, 88137, 10
11, 209259, Haveri, 100966, HAVERI, 13, 87-Ranebennur, 108280, 10
9, 187738, Dharwad, 91361, DHARWAD, 9, 69-Navalgund, 96368, 11
9, 173349, Dharwad, 83099, DHARWAD, 4, 70-Kundgol, 90246, 11
9, 192322, Dharwad, 94496, DHARWAD, 6, 71-Dharwad, 97820, 11
9, 190115, Dharwad, 94126, DHARWAD, 4, 72-Hubli-Dharwad-East, 95985, 11
9, 227711, Dharwad, 112988, DHARWAD, 28, 73-Hubli-Dharwad-Central, 114695, 11
9, 236080, Dharwad, 117413, DHARWAD, 26, 74-Hubli-Dharwad-West, 118641, 11
9, 173754, Dharwad, 83513, DHARWAD, 7, 75-Kalaghatgi, 90234, 11
11, 196075, Dharwad, 92087, HAVERI, 4, 83-Shiggaon, 103984, 11
Kannada, 7, Uttara, 99105, 1, 90298, BELGAUM, 14-Khanapur, 12
