ANNEXURE XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(CHAPTER XIV, PARA 26.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL RESULT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTION TO THE LEGISLATIVE ASSEMBLY OF KARNATAKA FROM No. 158. Hebbal ASSEMBLY CONSTITUENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency/Segment : 210479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Polling Station No,Polling Station No,,,No Of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polling station name,polling station Location,Abdul Azeem,C.K. Abdul Rahman Sharief,R. Jagadeesh Kumar,Abdul Basheer,Dr. Prabhashankar,Fakruddin.S,C.Munikrishna,Vinod.M,M.Venkatesha,Sridhar Pabbisetty,Uma Lakshmi Narayan,Chand Pasha,S.K.Dhanaraj,Nagaraja Shetty,Nandimandalam Madhava Raju,M.Munihanumaiah,Mohammed Usman Sharieff,Manjunatha.A,M.Manjunath,R.Raghu,N.K.Ravikumar,Shabeer Pasha,Syed Mustafa,Harish,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
1,2,2,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,158001,1,Gandhi Vidyalaya Kannada And Tamil Primary School  Room No 1,Lottagolla Halli,98,65,136,1,1,1,18,0,2,15,1,0,0,3,1,0,0,1,3,1,2,1,0,1,351,NIL,351,0
2,158002,2,BBMP Ward Office  Opp  Sterling Apartment  Lottegollahalli  Room No 1,Lottagolla Halli,125,141,160,0,4,0,16,0,2,87,0,0,0,1,0,2,9,2,1,0,0,0,1,2,553,NIL,553,0
3,158003,3,BBMP Ward Office  Opp  Sterling Apartment  Lottegollahalli  Room No 2,Lottagolla Halli,76,130,207,2,0,5,12,1,0,67,0,1,1,2,3,4,0,0,3,2,1,0,0,1,518,NIL,518,0
4,158004,4,St  John Play Home  Lottegollahalli  Railway Colony  Room No 1,Lottagolla Halli,140,117,205,2,1,0,18,0,1,19,0,1,2,0,1,3,0,0,1,1,0,1,1,5,519,NIL,519,0
5,158005,5,St  John Play Home  Lottegollahalli  Railway Colony  Room No 2, Sanjayanagar  ,54,80,116,0,1,0,21,0,1,34,1,0,1,1,3,1,0,1,0,0,0,0,0,0,315,NIL,315,0
6,158006,6,Sri Channakeshava Educational Institution & Primary School  Basaveshwara Layout  Nagashetty halli , Sanjayanagar  ,153,122,223,2,1,1,24,0,3,16,1,0,0,1,2,6,0,3,0,1,4,0,0,1,564,NIL,564,0
7,158007,7,Sri Channakeshava Educational Institution & Primary School  Basaveshwara Layout  Nagashetty halli  R, Sanjayanagar  ,161,116,168,3,0,0,13,0,1,15,0,0,0,2,1,3,2,1,0,0,3,2,0,4,495,NIL,495,0
8,158008,8,Sunrise Public School  Room No 1, Sanjayanagar  ,131,202,268,4,0,4,24,0,3,120,0,4,1,1,3,1,2,1,2,2,0,0,0,6,779,NIL,779,0
9,158009,9,Sunrise Public School  Room No 2, Sanjayanagar  ,75,105,109,4,0,1,14,0,0,16,1,0,0,0,0,2,1,1,0,0,0,0,0,2,331,NIL,331,0
10,158010,10,Sunrise Public School  Room No 3, Sanjayanagar  ,140,213,200,2,3,5,11,2,1,22,4,0,0,1,1,8,4,1,1,3,0,1,2,2,627,NIL,627,0
11,158011,11,Sunrise Public School  Room No 4, Sanjayanagar  ,131,114,124,0,2,1,5,0,0,10,1,3,0,0,0,29,2,1,0,0,0,0,0,3,426,NIL,426,0
12,158012,12,Sunrise Public School  Room No 5, Sanjayanagar  ,89,122,179,1,2,1,8,1,0,69,3,0,0,1,0,4,0,0,2,1,6,0,0,3,492,NIL,492,0
13,158013,13,Govt  Urdu Higher Primary School  Room No 1, Sanjayanagar  ,175,96,40,1,0,5,14,1,1,2,1,10,0,1,1,2,1,0,0,0,0,0,1,3,355,NIL,355,0
14,158014,14,Govt  Urdu Higher Primary School  Room No 2, Sanjayanagar  ,272,131,70,2,0,15,9,1,1,10,0,13,0,1,0,1,3,1,0,0,0,1,1,5,537,NIL,537,0
15,158015,15,Urdu Higher Primary School  Room No 3, Sanjayanagar  ,307,111,46,0,0,20,14,0,0,4,0,19,0,0,0,3,4,0,0,1,1,3,0,3,536,NIL,536,0
16,158016,16,Govt  Urdu Higher Primary School  Room No 4, Sanjayanagar  ,305,86,77,2,1,14,10,0,2,1,0,35,1,1,1,1,2,0,0,0,0,2,0,11,552,NIL,552,0
17,158017,17,Govt  Primary School  Guddadahalli  Room No 1,Hebbala ,65,124,146,6,1,0,85,2,0,26,3,0,1,3,0,3,2,2,0,5,0,1,0,1,476,NIL,476,0
18,158017A,017A,#N/A,#N/A,79,118,169,2,0,1,55,8,0,23,1,0,0,1,0,0,2,2,1,1,0,0,0,1,464,NIL,464,0
19,158018,18,Govt  Primary School  Guddadahalli  Room No 2,Hebbala ,56,179,307,2,0,1,31,1,1,12,1,1,0,2,0,1,2,3,0,1,1,1,1,11,615,NIL,615,0
20,158019,19,Govt  Primary School  Guddadahalli  Room No 3,Hebbala ,95,170,338,5,2,0,47,1,0,21,1,3,1,8,2,4,4,4,8,2,1,0,1,18,736,NIL,736,0
21,158020,20,Anganawadi Kendra  Gosayee Slum  Guddadahalli  Room No 1,Hebbala ,235,97,67,4,1,2,32,1,1,2,0,2,1,1,2,7,3,1,3,0,1,1,3,2,469,NIL,469,0
22,158021,21,Anganawadi Kendra  Guddadahalli  Room No 1,Hebbala ,83,314,350,2,5,0,70,5,0,13,5,0,1,6,0,0,4,4,4,3,1,2,0,8,880,NIL,880,0
23,158022,22,Govt  Lower Primary School  Vishwanatha Nagenahalli  Room No 1,Hebbala ,221,140,464,3,0,0,16,0,0,11,1,1,2,20,5,5,7,1,6,0,1,0,0,4,908,NIL,908,0
24,158023,23,"Govt  Lower Primary School  Vishwanatha Nagenahalli  
Room No 2",Hebbala ,362,132,335,3,0,2,32,1,1,22,1,2,0,9,5,8,8,1,6,0,1,4,1,1,937,NIL,937,0
